participant.label,participant.id_in_session,participant.code,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_happened,subsession.round_number,age,education,gender,lsas_p,lsas_s,dass_a,dass_d,dass_s,ssms_cd,ssms_ia,srp_sf_ipm,srp_sf_ca,srp_sf_els,srp_sf_ct,ami_es,ami_sm,ami_ba,ssms,dass,lsas,srp_sf,ami,aq_10,trial_to_reversal,bet_type,bet
66cdd069637121e241f7a40a,31,ilvocnr8,5,right,right,NA,NA,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.5,0.5,NA,NA,1,1,NA,NA,0,1,1,NA,NA,0.42,1.06,1.58,0.4,0.78,40,20,40,-140,-40,0,0,1,0,0,0,0,1,2,2,1,1,2,2,1,1,0,0,1,1,0,0,1,1,-1,-1,1,0,0,0,0,0,0,0,0,3,34,0.84,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,27,8,2,27,30,12,20,26,10,5,7,8,12,8,6,11,12,15,58,57,36,29,4,1,Bet 1,2
66cdd069637121e241f7a40a,31,ilvocnr8,5,right,right,NA,NA,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.5,0.5,NA,NA,1,1,NA,NA,0,1,1,NA,NA,0.42,1.06,1.58,0.4,0.78,40,20,40,-140,-40,0,0,1,0,0,0,0,1,2,2,1,1,2,2,1,1,0,0,1,1,0,0,1,1,-1,-1,1,0,0,0,0,0,0,0,0,3,34,0.84,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,27,8,2,27,30,12,20,26,10,5,7,8,12,8,6,11,12,15,58,57,36,29,4,1,Bet 2,1
59b69d4fb269ef0001801733,1,djfcv4qm,5,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,23,26,0,1,1,16,19,1.12,0.91,0.48,0.45,0.37,60,60,-100,220,-140,0,0,1,0,0,0,0,1,1,1,2,1,2,1,1,1,1,1,0,1,0,1,1,1,-1,1,1,0,1,0,0,0,1,0,0,2,35,2.01,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,35,38,8,1,34,36,4,18,16,6,4,29,25,27,12,10,14,8,10,38,70,97,32,5,2,Bet 1,3
59b69d4fb269ef0001801733,1,djfcv4qm,5,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,23,26,0,1,1,16,19,1.12,0.91,0.48,0.45,0.37,60,60,-100,220,-140,0,0,1,0,0,0,0,1,1,1,2,1,2,1,1,1,1,1,0,1,0,1,1,1,-1,1,1,0,1,0,0,0,1,0,0,2,35,2.01,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,35,38,8,1,34,36,4,18,16,6,4,29,25,27,12,10,14,8,10,38,70,97,32,5,2,Bet 2,3
587b7ab8c192390001d60136,3,gunf45xl,4,left,right,NA,NA,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1A.bmp,1,0,1,0.75,0.25,NA,NA,0,1,20,10,1,0,1,21,17,1.28,1.63,1.12,0.55,0.39,-40,60,320,-60,280,0,0,1,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,0,1,0,0,0,1,0,0,2,35,2.01,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,35,60,7,2,19,20,0,0,4,1,6,7,11,15,7,3,16,3,7,4,39,41,22,2,2,Bet 1,2
587b7ab8c192390001d60136,3,gunf45xl,4,left,right,NA,NA,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1A.bmp,1,0,1,0.75,0.25,NA,NA,0,1,20,10,1,0,1,21,17,1.28,1.63,1.12,0.55,0.39,-40,60,320,-60,280,0,0,1,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,0,1,0,0,0,1,0,0,2,35,2.01,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,35,60,7,2,19,20,0,0,4,1,6,7,11,15,7,3,16,3,7,4,39,41,22,2,2,Bet 2,3
5e9b60ab511e7a0650994050,4,8g9qhxee,3,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,26,27,0,1,1,23,22,1.15,0.56,0.35,1.27,0.41,60,60,560,540,640,0,0,1,0,0,0,0,1,1,2,1,1,2,1,1,1,1,0,1,1,0,1,1,1,-1,1,1,0,1,0,0,0,1,0,0,2,35,2.01,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,35,45,4,1,25,24,0,0,0,0,0,10,10,7,7,4,8,9,0,0,49,35,21,1,2,Bet 1,3
5e9b60ab511e7a0650994050,4,8g9qhxee,3,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,26,27,0,1,1,23,22,1.15,0.56,0.35,1.27,0.41,60,60,560,540,640,0,0,1,0,0,0,0,1,1,2,1,1,2,1,1,1,1,0,1,1,0,1,1,1,-1,1,1,0,1,0,0,0,1,0,0,2,35,2.01,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,35,45,4,1,25,24,0,0,0,0,0,10,10,7,7,4,8,9,0,0,49,35,21,1,2,Bet 2,3
607d6e86f96c147cf2b3223c,22,0r57elef,1,right,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,1,0,1,0,NA,NA,1,1,NA,NA,0,0,0,NA,NA,0.59,0.71,0.42,0.44,0.58,-60,-60,260,320,380,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,2,35,1.39,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,33,7,2,25,19,2,14,6,3,1,8,10,13,7,3,9,6,4,22,44,39,18,2,2,Bet 1,3
607d6e86f96c147cf2b3223c,22,0r57elef,1,right,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,1,0,1,0,NA,NA,1,1,NA,NA,0,0,0,NA,NA,0.59,0.71,0.42,0.44,0.58,-60,-60,260,320,380,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,2,35,1.39,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,33,7,2,25,19,2,14,6,3,1,8,10,13,7,3,9,6,4,22,44,39,18,2,2,Bet 2,3
5e3c759575109a055e99b38a,23,uro33w1j,2,right,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,NA,NA,0,0,0,NA,NA,0.36,0.75,0.67,0.34,0.28,-20,-20,180,160,200,0,0,-1,0,0,0,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,35,0.7,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,43,8,1,13,12,0,2,8,0,0,7,7,9,7,2,10,4,0,10,25,31,16,2,2,Bet 1,1
5e3c759575109a055e99b38a,23,uro33w1j,2,right,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,NA,NA,0,0,0,NA,NA,0.36,0.75,0.67,0.34,0.28,-20,-20,180,160,200,0,0,-1,0,0,0,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,35,0.7,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,43,8,1,13,12,0,2,8,0,0,7,7,9,7,2,10,4,0,10,25,31,16,2,2,Bet 2,1
67862f57b5350ebed10fac1f,24,v5uzjzeq,3,left,left,NA,NA,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1A.bmp,1,1,0,1,0,NA,NA,1,1,NA,NA,0,0,0,NA,NA,0.6,0.61,0.29,0.76,0.45,-20,-20,220,220,240,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,2,35,1.39,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Bet 1,1
67862f57b5350ebed10fac1f,24,v5uzjzeq,3,left,left,NA,NA,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1A.bmp,1,1,0,1,0,NA,NA,1,1,NA,NA,0,0,0,NA,NA,0.6,0.61,0.29,0.76,0.45,-20,-20,220,220,240,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,2,35,1.39,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Bet 2,1
622bb4f79c52ad04bb91e752,25,r0epnh5n,4,left,left,NA,NA,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,NA,NA,0,0,0,NA,NA,0.53,1.24,1.26,0.6,0.48,-60,-60,-80,20,40,0,0,-1,0,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,35,0.7,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,59,4,2,13,9,2,0,8,0,1,7,8,8,7,6,12,1,1,10,22,31,19,0,2,Bet 1,3
622bb4f79c52ad04bb91e752,25,r0epnh5n,4,left,left,NA,NA,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,NA,NA,0,0,0,NA,NA,0.53,1.24,1.26,0.6,0.48,-60,-60,-80,20,40,0,0,-1,0,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,35,0.7,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,59,4,2,13,9,2,0,8,0,1,7,8,8,7,6,12,1,1,10,22,31,19,0,2,Bet 2,3
66095082185479f7db42d782,26,c8le880w,4,right,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,1,0,1,0,NA,NA,1,1,NA,NA,0,0,0,NA,NA,0.59,0.47,0.43,1.45,0.39,-60,-40,-240,-140,-100,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,2,35,1.39,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Bet 1,3
66095082185479f7db42d782,26,c8le880w,4,right,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,1,0,1,0,NA,NA,1,1,NA,NA,0,0,0,NA,NA,0.59,0.47,0.43,1.45,0.39,-60,-40,-240,-140,-100,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,2,35,1.39,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Bet 2,2
610d4df86c4abc6b5ced6fa0,27,fe87ewee,3,left,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1A.bmp,1,0,1,1,0,NA,NA,0,1,NA,NA,1,1,0,NA,NA,0.7,2.01,1.34,1,1.12,40,-60,-100,80,-540,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,35,0.7,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,NA,8,2,14,11,8,6,14,5,5,10,13,16,13,11,12,10,10,28,25,53,33,2,2,Bet 1,2
610d4df86c4abc6b5ced6fa0,27,fe87ewee,3,left,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1A.bmp,1,0,1,1,0,NA,NA,0,1,NA,NA,1,1,0,NA,NA,0.7,2.01,1.34,1,1.12,40,-60,-100,80,-540,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,35,0.7,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,NA,8,2,14,11,8,6,14,5,5,10,13,16,13,11,12,10,10,28,25,53,33,2,2,Bet 2,3
5e3024d69366c7000c4025ff,28,vmj6j5sf,1,right,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,NA,NA,0,0,0,NA,NA,0.46,0.87,0.95,0.48,0.53,-60,-60,140,-340,20,0,0,-1,0,0,0,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,35,0.7,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,42,4,2,39,24,8,16,24,11,4,17,16,10,9,2,18,20,15,48,63,53,40,6,2,Bet 1,3
5e3024d69366c7000c4025ff,28,vmj6j5sf,1,right,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,NA,NA,0,0,0,NA,NA,0.46,0.87,0.95,0.48,0.53,-60,-60,140,-340,20,0,0,-1,0,0,0,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,35,0.7,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,42,4,2,39,24,8,16,24,11,4,17,16,10,9,2,18,20,15,48,63,53,40,6,2,Bet 2,3
66cdd069637121e241f7a40a,31,ilvocnr8,5,left,left,NA,NA,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,NA,NA,0,0,0,NA,NA,0.49,0.73,0.84,0.12,0.53,-60,-60,-20,-200,-100,0,0,-1,0,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,35,0.7,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,27,8,2,27,30,12,20,26,10,5,7,8,12,8,6,11,12,15,58,57,36,29,4,2,Bet 1,3
66cdd069637121e241f7a40a,31,ilvocnr8,5,left,left,NA,NA,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,NA,NA,0,0,0,NA,NA,0.49,0.73,0.84,0.12,0.53,-60,-60,-20,-200,-100,0,0,-1,0,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,35,0.7,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,35,27,8,2,27,30,12,20,26,10,5,7,8,12,8,6,11,12,15,58,57,36,29,4,2,Bet 2,3
59b69d4fb269ef0001801733,1,djfcv4qm,5,right,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.5,0.5,NA,NA,1,1,24,27,0,0,0,16,19,1.19,0.89,0.44,1.03,0.32,-60,-60,-160,160,-200,0,0,-1,0,0,0,0,1,2,1,1,1,2,1,2,1,0,1,1,1,0,1,0,-1,1,-1,1,0,1,0,0,0,0,0,0,2,36,1.77,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,36,38,8,1,34,36,4,18,16,6,4,29,25,27,12,10,14,8,10,38,70,97,32,5,3,Bet 1,3
59b69d4fb269ef0001801733,1,djfcv4qm,5,right,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.5,0.5,NA,NA,1,1,24,27,0,0,0,16,19,1.19,0.89,0.44,1.03,0.32,-60,-60,-160,160,-200,0,0,-1,0,0,0,0,1,2,1,1,1,2,1,2,1,0,1,1,1,0,1,0,-1,1,-1,1,0,1,0,0,0,0,0,0,2,36,1.77,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,36,38,8,1,34,36,4,18,16,6,4,29,25,27,12,10,14,8,10,38,70,97,32,5,3,Bet 2,3
672a3488a8bffdf9dac2b72f,2,gyubbbth,1,right,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.5,0.5,NA,NA,1,1,23,21,0,0,0,21,17,1.77,0.73,0.52,0.32,0.38,-60,-60,200,-40,120,0,0,-1,0,0,0,0,2,1,1,1,2,1,2,1,0,1,1,1,0,1,0,1,1,-1,1,-1,1,0,0,0,0,0,0,0,2,36,1.77,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,36,26,5,2,6,5,2,2,4,1,3,14,18,18,8,8,9,12,4,8,11,59,29,2,3,Bet 1,3
672a3488a8bffdf9dac2b72f,2,gyubbbth,1,right,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.5,0.5,NA,NA,1,1,23,21,0,0,0,21,17,1.77,0.73,0.52,0.32,0.38,-60,-60,200,-40,120,0,0,-1,0,0,0,0,2,1,1,1,2,1,2,1,0,1,1,1,0,1,0,1,1,-1,1,-1,1,0,0,0,0,0,0,0,2,36,1.77,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,36,26,5,2,6,5,2,2,4,1,3,14,18,18,8,8,9,12,4,8,11,59,29,2,3,Bet 2,3
587b7ab8c192390001d60136,3,gunf45xl,4,right,left,NA,NA,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,2,0.75,0.25,0.25,0.75,NA,NA,1,0,21,10,1,0,1,21,18,1.33,1.07,0.71,0.41,0.4,-40,60,280,0,240,0,0,1,0,0,0,0,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,-1,1,-1,-1,0,1,0,0,0,0,0,0,2,36,1.77,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,36,60,7,2,19,20,0,0,4,1,6,7,11,15,7,3,16,3,7,4,39,41,22,2,3,Bet 1,2
587b7ab8c192390001d60136,3,gunf45xl,4,right,left,NA,NA,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,2,0.75,0.25,0.25,0.75,NA,NA,1,0,21,10,1,0,1,21,18,1.33,1.07,0.71,0.41,0.4,-40,60,280,0,240,0,0,1,0,0,0,0,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,-1,1,-1,-1,0,1,0,0,0,0,0,0,2,36,1.77,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,36,60,7,2,19,20,0,0,4,1,6,7,11,15,7,3,16,3,7,4,39,41,22,2,3,Bet 2,3
5e9b60ab511e7a0650994050,4,8g9qhxee,3,right,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.5,0.5,NA,NA,1,1,27,28,0,0,0,23,22,1.21,0.64,0.9,0.88,0.51,-60,-60,500,480,580,0,0,-1,0,0,0,0,1,2,1,1,1,2,2,1,1,0,1,1,1,0,0,1,-1,1,1,-1,0,1,0,0,0,0,0,0,2,36,1.77,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,36,45,4,1,25,24,0,0,0,0,0,10,10,7,7,4,8,9,0,0,49,35,21,1,3,Bet 1,3
5e9b60ab511e7a0650994050,4,8g9qhxee,3,right,right,NA,NA,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.5,0.5,NA,NA,1,1,27,28,0,0,0,23,22,1.21,0.64,0.9,0.88,0.51,-60,-60,500,480,580,0,0,-1,0,0,0,0,1,2,1,1,1,2,2,1,1,0,1,1,1,0,0,1,-1,1,1,-1,0,1,0,0,0,0,0,0,2,36,1.77,0,1,0.7,0.3,option1A.bmp,option1B.bmp,0,36,45,4,1,25,24,0,0,0,0,0,10,10,7,7,4,8,9,0,0,49,35,21,1,3,Bet 2,3
607d6e86f96c147cf2b3223c,22,0r57elef,1,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0.25,0.75,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.39,1.7,0.83,0.31,0.29,-60,-60,200,260,320,0,0,-1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,0,0,0,1,0,0,0,0,2,36,2.77,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,36,33,7,2,25,19,2,14,6,3,1,8,10,13,7,3,9,6,4,22,44,39,18,2,3,Bet 1,3
607d6e86f96c147cf2b3223c,22,0r57elef,1,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0.25,0.75,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.39,1.7,0.83,0.31,0.29,-60,-60,200,260,320,0,0,-1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,0,0,0,1,0,0,0,0,2,36,2.77,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,36,33,7,2,25,19,2,14,6,3,1,8,10,13,7,3,9,6,4,22,44,39,18,2,3,Bet 2,3
5e3c759575109a055e99b38a,23,uro33w1j,2,left,left,NA,NA,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,1,0,0.75,0.25,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.55,0.72,0.62,0.34,0.43,-20,-20,160,140,180,0,0,-1,0,0,0,0,2,2,2,2,2,1,2,2,0,0,0,0,0,1,0,0,-1,1,-1,-1,0,0,0,0,0,1,0,0,3,36,0.69,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,36,43,8,1,13,12,0,2,8,0,0,7,7,9,7,2,10,4,0,10,25,31,16,2,3,Bet 1,1
5e3c759575109a055e99b38a,23,uro33w1j,2,left,left,NA,NA,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,1,0,0.75,0.25,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.55,0.72,0.62,0.34,0.43,-20,-20,160,140,180,0,0,-1,0,0,0,0,2,2,2,2,2,1,2,2,0,0,0,0,0,1,0,0,-1,1,-1,-1,0,0,0,0,0,1,0,0,3,36,0.69,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,36,43,8,1,13,12,0,2,8,0,0,7,7,9,7,2,10,4,0,10,25,31,16,2,3,Bet 2,1
67862f57b5350ebed10fac1f,24,v5uzjzeq,3,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.5,0.5,NA,NA,1,1,NA,NA,0,1,1,NA,NA,0.33,0.89,0.39,0.7,0.66,20,20,240,240,260,0,0,1,0,0,0,0,2,1,2,1,2,1,2,1,0,1,0,1,0,1,0,1,-1,1,-1,1,0,0,0,1,0,0,0,0,2,36,2.77,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Bet 1,1
67862f57b5350ebed10fac1f,24,v5uzjzeq,3,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.5,0.5,NA,NA,1,1,NA,NA,0,1,1,NA,NA,0.33,0.89,0.39,0.7,0.66,20,20,240,240,260,0,0,1,0,0,0,0,2,1,2,1,2,1,2,1,0,1,0,1,0,1,0,1,-1,1,-1,1,0,0,0,1,0,0,0,0,2,36,2.77,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Bet 2,1
622bb4f79c52ad04bb91e752,25,r0epnh5n,4,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,1,0,0.75,0.25,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.59,0.76,0.93,0.63,0.56,-20,-60,-100,-40,20,0,0,-1,0,0,0,0,2,2,2,2,2,2,1,2,0,0,0,0,0,0,1,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,3,36,0.69,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,36,59,4,2,13,9,2,0,8,0,1,7,8,8,7,6,12,1,1,10,22,31,19,0,3,Bet 1,1
622bb4f79c52ad04bb91e752,25,r0epnh5n,4,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,1,0,0.75,0.25,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.59,0.76,0.93,0.63,0.56,-20,-60,-100,-40,20,0,0,-1,0,0,0,0,2,2,2,2,2,2,1,2,0,0,0,0,0,0,1,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,3,36,0.69,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,36,59,4,2,13,9,2,0,8,0,1,7,8,8,7,6,12,1,1,10,22,31,19,0,3,Bet 2,3
